Freq.	-V(out)/I(Vtest)
7.67411295460228e+01	1.00792827321180e+02,-2.06975217409717e+02
7.72749063139893e+01	1.00786923623937e+02,-2.05545550023634e+02
7.78123957929846e+01	1.00781101202654e+02,-2.04125757840493e+02
7.83536238069559e+01	1.00775358938384e+02,-2.02715772652561e+02
7.88986163594705e+01	1.00769695727578e+02,-2.01315526723145e+02
7.94473996349646e+01	1.00764110481883e+02,-1.99924952783339e+02
8.00000000000018e+01	1.00758602127930e+02,-1.98543984028798e+02
8.05564440045393e+01	1.00753169607126e+02,-1.97172554116530e+02
8.11167583832042e+01	1.00747811875448e+02,-1.95810597161710e+02
8.16809700565773e+01	1.00742527903248e+02,-1.94458047734518e+02
8.22491061324872e+01	1.00737316675056e+02,-1.93114840857001e+02
8.28211939073121e+01	1.00732177189378e+02,-1.91780911999947e+02
8.33972608672916e+01	1.00727108458503e+02,-1.90456197079794e+02
8.39773346898473e+01	1.00722109508327e+02,-1.89140632455550e+02
8.45614432449124e+01	1.00717179378150e+02,-1.87834154925737e+02
8.51496145962708e+01	1.00712317120497e+02,-1.86536701725360e+02
8.57418770029054e+01	1.00707521800941e+02,-1.85248210522891e+02
8.63382589203562e+01	1.00702792497913e+02,-1.83968619417279e+02
8.69387890020867e+01	1.00698128302538e+02,-1.82697866934974e+02
8.75434961008612e+01	1.00693528318444e+02,-1.81435892026980e+02
8.81524092701309e+01	1.00688991661609e+02,-1.80182634065923e+02
8.87655577654297e+01	1.00684517460171e+02,-1.78938032843138e+02
8.93829710457797e+01	1.00680104854281e+02,-1.77702028565780e+02
9.00046787751069e+01	1.00675752995918e+02,-1.76474561853954e+02
9.06307108236660e+01	1.00671461048739e+02,-1.75255573737863e+02
9.12610972694761e+01	1.00667228187918e+02,-1.74045005654976e+02
9.18958683997650e+01	1.00663053599976e+02,-1.72842799447216e+02
9.25350547124252e+01	1.00658936482642e+02,-1.71648897358172e+02
9.31786869174787e+01	1.00654876044679e+02,-1.70463242030319e+02
9.38267959385526e+01	1.00650871505756e+02,-1.69285776502270e+02
