Freq.	V(out)
2.77021893622188e+01	6.57204931516911e-03,-7.29504023174853e-05
2.78948733270084e+01	6.57204157143754e-03,-7.31916378229877e-05
2.80888975147603e+01	6.57203376417200e-03,-7.34363881933720e-05
2.82842712474622e+01	6.57202589187229e-03,-7.36846651633369e-05
2.84810039119418e+01	6.57201795302646e-03,-7.39364806362990e-05
2.86791049603169e+01	6.57200994610881e-03,-7.41918466849305e-05
2.88785839104503e+01	6.57200186958175e-03,-7.44507755517562e-05
2.90794503464066e+01	6.57199372189328e-03,-7.47132796497014e-05
2.92817139189129e+01	6.57198550147825e-03,-7.49793715626970e-05
2.94853843458224e+01	6.57197720675752e-03,-7.52490640462641e-05
2.96904714125813e+01	6.57196883613750e-03,-7.55223700281136e-05
2.98969849726991e+01	6.57196038801034e-03,-7.57993026087590e-05
3.01049349482217e+01	6.57195186075290e-03,-7.60798750621249e-05
3.03143313302083e+01	6.57194325272735e-03,-7.63641008361819e-05
3.05251841792116e+01	6.57193456227981e-03,-7.66519935535662e-05
3.07375036257606e+01	6.57192578774081e-03,-7.69435670122297e-05
3.09512998708482e+01	6.57191692742495e-03,-7.72388351860859e-05
3.11665831864204e+01	6.57190797963020e-03,-7.75378122256648e-05
3.13833639158704e+01	6.57189894263746e-03,-7.78405124587734e-05
3.16016524745355e+01	6.57188981471106e-03,-7.81469503911797e-05
3.18214593501972e+01	6.57188059409737e-03,-7.84571407072796e-05
3.20427951035853e+01	6.57187127902526e-03,-7.87710982707962e-05
3.22656703688855e+01	6.57186186770544e-03,-7.90888381254726e-05
3.24900958542498e+01	6.57185235832994e-03,-7.94103754957753e-05
3.27160823423117e+01	6.57184274907211e-03,-7.97357257876113e-05
3.29436406907034e+01	6.57183303808648e-03,-8.00649045890538e-05
3.31727818325781e+01	6.57182322350723e-03,-8.03979276710557e-05
3.34035167771352e+01	6.57181330344956e-03,-8.07348109882117e-05
3.36358566101490e+01	6.57180327600773e-03,-8.10755706794846e-05
3.38698124945015e+01	6.57179313925562e-03,-8.14202230689711e-05
3.41053956707187e+01	6.57178289124642e-03,-8.17687846666664e-05
3.43426174575106e+01	6.57177253001136e-03,-8.21212721692262e-05
3.45814892523151e+01	6.57176205356075e-03,-8.24777024607643e-05
3.48220225318454e+01	6.57175145988198e-03,-8.28380926136202e-05
3.50642288526419e+01	6.57174074694044e-03,-8.32024598891752e-05
3.53081198516267e+01	6.57172991267825e-03,-8.35708217386461e-05
3.55537072466633e+01	6.57171895501502e-03,-8.39431958039141e-05
3.58010028371194e+01	6.57170787184566e-03,-8.43195999183274e-05
3.60500185044337e+01	6.57169666104162e-03,-8.47000521075509e-05
3.63007662126869e+01	6.57168532044975e-03,-8.50845705904010e-05
3.65532580091765e+01	6.57167384789180e-03,-8.54731737796912e-05
3.68075060249955e+01	6.57166224116452e-03,-8.58658802830970e-05
3.70635224756154e+01	6.57165049803887e-03,-8.62627089040208e-05
3.73213196614728e+01	6.57163861625903e-03,-8.66636786424558e-05
3.75809099685610e+01	6.57162659354343e-03,-8.70688086958934e-05
3.78423058690244e+01	6.57161442758313e-03,-8.74781184601980e-05
3.81055199217581e+01	6.57160211604152e-03,-8.78916275305143e-05
3.83705647730111e+01	6.57158965655406e-03,-8.83093557021769e-05
3.86374531569944e+01	6.57157704672819e-03,-8.87313229716383e-05
3.89061978964920e+01	6.57156428414220e-03,-8.91575495373882e-05
3.91768119034777e+01	6.57155136634507e-03,-8.95880558008941e-05
3.94493081797350e+01	6.57153829085622e-03,-9.00228623675535e-05
3.97236998174820e+01	6.57152505516438e-03,-9.04619900476393e-05
4.00000000000006e+01	6.57151165672809e-03,-9.09054598572797e-05
4.02782220022694e+01	6.57149809297443e-03,-9.13532930194193e-05
4.05583791916018e+01	6.57148436129856e-03,-9.18055109648081e-05
4.08404850282884e+01	6.57147045906374e-03,-9.22621353329961e-05
4.11245530662433e+01	6.57145638360058e-03,-9.27231879733339e-05
4.14105969536557e+01	6.57144213220565e-03,-9.31886909459721e-05
4.16986304336455e+01	6.57142770214286e-03,-9.36586665229074e-05
4.19886673449233e+01	6.57141309064133e-03,-9.41331371889907e-05
4.22807216224559e+01	6.57139829489546e-03,-9.46121256429737e-05
4.25748072981351e+01	6.57138331206409e-03,-9.50956547985540e-05
4.28709385014524e+01	6.57136813927042e-03,-9.55837477854387e-05
4.31691294601778e+01	6.57135277360105e-03,-9.60764279504072e-05
4.34693945010430e+01	6.57133721210585e-03,-9.65737188583920e-05
4.37717480504303e+01	6.57132145179696e-03,-9.70756442935621e-05
4.40762046350651e+01	6.57130548964836e-03,-9.75822282604177e-05
4.43827788827145e+01	6.57128932259529e-03,-9.80934949848976e-05
4.46914855228895e+01	6.57127294753369e-03,-9.86094689154937e-05
4.50023393875531e+01	6.57125636131997e-03,-9.91301747243818e-05
4.53153554118327e+01	6.57123956076969e-03,-9.96556373085459e-05
4.56305486347377e+01	6.57122254265709e-03,-1.00185881790922e-04
4.59479341998822e+01	6.57120530371510e-03,-1.00720933521564e-04
4.62675273562123e+01	6.57118784063426e-03,-1.01260818078801e-04
4.65893434587390e+01	6.57117015006205e-03,-1.01805561270405e-04
4.69133979692759e+01	6.57115222860231e-03,-1.02355189134782e-04
4.72397064571820e+01	6.57113407281462e-03,-1.02909727942160e-04
4.75682846001096e+01	6.57111567921378e-03,-1.03469204195800e-04
4.78991481847580e+01	6.57109704426862e-03,-1.04033644633194e-04
4.82323131076312e+01	6.57107816440223e-03,-1.04603076227307e-04
4.85677953758027e+01	6.57105903599019e-03,-1.05177526187793e-04
4.89056111076836e+01	6.57103965536077e-03,-1.05757021962246e-04
4.92457765337975e+01	6.57102001879406e-03,-1.06341591237462e-04
4.95883079975603e+01	6.57100012252048e-03,-1.06931261940677e-04
4.99332219560653e+01	6.57097996272136e-03,-1.07526062240868e-04
5.02805349808740e+01	6.57095953552694e-03,-1.08126020550019e-04
5.06302637588121e+01	6.57093883701679e-03,-1.08731165524422e-04
5.09824250927714e+01	6.57091786321781e-03,-1.09341526065975e-04
5.13370359025171e+01	6.57089661010469e-03,-1.09957131323505e-04
5.16941132255006e+01	6.57087507359838e-03,-1.10578010694085e-04
5.20536742176783e+01	6.57085324956548e-03,-1.11204193824370e-04
5.24157361543355e+01	6.57083113381756e-03,-1.11835710611945e-04
5.27803164309167e+01	6.57080872211028e-03,-1.12472591206677e-04
5.31474325638614e+01	6.57078601014244e-03,-1.13114866012081e-04
5.35171021914455e+01	6.57076299355559e-03,-1.13762565686702e-04
5.38893430746286e+01	6.57073966793262e-03,-1.14415721145494e-04
5.42641730979079e+01	6.57071602879745e-03,-1.15074363561222e-04
5.46416102701768e+01	6.57069207161398e-03,-1.15738524365872e-04
5.50216727255908e+01	6.57066779178481e-03,-1.16408235252058e-04
5.54043787244380e+01	6.57064318465088e-03,-1.17083528174462e-04
5.57897466540173e+01	6.57061824549087e-03,-1.17764435351279e-04
5.61777950295209e+01	6.57059296951913e-03,-1.18450989265642e-04
5.65685424949249e+01	6.57056735188605e-03,-1.19143222667115e-04
5.69620078238839e+01	6.57054138767618e-03,-1.19841168573136e-04
5.73582099206342e+01	6.57051507190816e-03,-1.20544860270525e-04
5.77571678209009e+01	6.57048839953279e-03,-1.21254331316953e-04
5.81589006928135e+01	6.57046136543283e-03,-1.21969615542461e-04
5.85634278378261e+01	6.57043396442201e-03,-1.22690747050978e-04
5.89707686916452e+01	6.57040619124346e-03,-1.23417760221831e-04
5.93809428251631e+01	6.57037804056881e-03,-1.24150689711284e-04
5.97939699453987e+01	6.57034950699816e-03,-1.24889570454106e-04
6.02098698964438e+01	6.57032058505753e-03,-1.25634437665098e-04
6.06286626604171e+01	6.57029126919905e-03,-1.26385326840688e-04
6.10503683584235e+01	6.57026155379928e-03,-1.27142273760496e-04
6.14750072515217e+01	6.57023143315835e-03,-1.27905314488932e-04
6.19025997416968e+01	6.57020090149883e-03,-1.28674485376792e-04
6.23331663728412e+01	6.57016995296440e-03,-1.29449823062875e-04
6.27667278317413e+01	6.57013858161928e-03,-1.30231364475609e-04
6.32033049490714e+01	6.57010678144659e-03,-1.31019146834680e-04
6.36429187003948e+01	6.57007454634712e-03,-1.31813207652677e-04
6.40855902071710e+01	6.57004187013909e-03,-1.32613584736765e-04
6.45313407377714e+01	6.57000874655567e-03,-1.33420316190329e-04
