Freq.	-V(in)/I(Vsource)	V(out)
2.51402674904368e+01	3.33291728292588e+06,-7.07424311885677e+03	9.90888201993521e-01,6.39214785967128e-03
2.53151318794059e+01	3.33291708955899e+06,-7.11954509540082e+03	9.90888758752418e-01,6.34799704095195e-03
2.54912125463855e+01	3.33291689349772e+06,-7.16518911506467e+03	9.90889307846879e-01,6.30415111860229e-03
2.56685179512583e+01	3.33291669470432e+06,-7.21117738641679e+03	9.90889849382443e-01,6.26060798800478e-03
2.58470566127501e+01	3.33291649314060e+06,-7.25751211320286e+03	9.90890383463153e-01,6.21736555904872e-03
2.60268371088389e+01	3.33291628876788e+06,-7.30419551361557e+03	9.90890910191597e-01,6.17442175603067e-03
2.62078680771675e+01	3.33291608154685e+06,-7.35122983233806e+03	9.90891429669024e-01,6.13177451755614e-03
2.63901582154582e+01	3.33291587143767e+06,-7.39861733572638e+03	9.90891941995225e-01,6.08942179644057e-03
2.65737162819305e+01	3.33291565839995e+06,-7.44636030458317e+03	9.90892447268626e-01,6.04736155961214e-03
2.67585510957225e+01	3.33291544239283e+06,-7.49446101007033e+03	9.90892945586342e-01,6.00559178801506e-03
2.69446715373141e+01	3.33291522337468e+06,-7.54292179078802e+03	9.90893437044092e-01,5.96411047651284e-03
2.71320865489537e+01	3.33291500130350e+06,-7.59174495642561e+03	9.90893921736336e-01,5.92291563379326e-03
2.73208051350882e+01	3.33291477613658e+06,-7.64093285761452e+03	9.90894399756184e-01,5.88200528227272e-03
2.75108363627952e+01	3.33291454783066e+06,-7.69048785461471e+03	9.90894871195500e-01,5.84137745800270e-03
2.77021893622188e+01	3.33291431634188e+06,-7.74041232694936e+03	9.90895336144846e-01,5.80103021057537e-03
2.78948733270084e+01	3.33291408162565e+06,-7.79070869267458e+03	9.90895794693595e-01,5.76096160303134e-03
2.80888975147603e+01	3.33291384363701e+06,-7.84137933852632e+03	9.90896246929842e-01,5.72116971176645e-03
2.82842712474622e+01	3.33291360233014e+06,-7.89242671386032e+03	9.90896692940447e-01,5.68165262644049e-03
2.84810039119418e+01	3.33291335765868e+06,-7.94385327043398e+03	9.90897132811162e-01,5.64240844988617e-03
2.86791049603169e+01	3.33291310957557e+06,-7.99566148408469e+03	9.90897566626456e-01,5.60343529801806e-03
2.88785839104503e+01	3.33291285803322e+06,-8.04785383064240e+03	9.90897994469749e-01,5.56473129974344e-03
2.90794503464066e+01	3.33291260298322e+06,-8.10043282687783e+03	9.90898416423186e-01,5.52629459687208e-03
2.92817139189129e+01	3.33291234437661e+06,-8.15340098955397e+03	9.90898832567881e-01,5.48812334402845e-03
2.94853843458224e+01	3.33291208216363e+06,-8.20676087396543e+03	9.90899242983789e-01,5.45021570856309e-03
2.96904714125813e+01	3.33291181629392e+06,-8.26051504021623e+03	9.90899647749780e-01,5.41256987046522e-03
2.98969849726991e+01	3.33291154671641e+06,-8.31466606285456e+03	9.90900046943642e-01,5.37518402227604e-03
3.01049349482217e+01	3.33291127337924e+06,-8.36921655736837e+03	9.90900440642035e-01,5.33805636900196e-03
3.03143313302083e+01	3.33291099622993e+06,-8.42416912960222e+03	9.90900828920662e-01,5.30118512802969e-03
3.05251841792116e+01	3.33291071521517e+06,-8.47952643115756e+03	9.90901211854082e-01,5.26456852904020e-03
3.07375036257606e+01	3.33291043028098e+06,-8.53529111844436e+03	9.90901589515906e-01,5.22820481392484e-03
3.09512998708482e+01	3.33291014137264e+06,-8.59146585990709e+03	9.90901961978697e-01,5.19209223670124e-03
3.11665831864204e+01	3.33290984843455e+06,-8.64805336974646e+03	9.90902329314040e-01,5.15622906342965e-03
3.13833639158704e+01	3.33290955141049e+06,-8.70505635492760e+03	9.90902691592480e-01,5.12061357213018e-03
3.16016524745355e+01	3.33290925024335e+06,-8.76247755371923e+03	9.90903048883655e-01,5.08524405270085e-03
3.18214593501972e+01	3.33290894487520e+06,-8.82031974051085e+03	9.90903401256243e-01,5.05011880683577e-03
3.20427951035853e+01	3.33290863524746e+06,-8.87858567041219e+03	9.90903748777910e-01,5.01523614794345e-03
3.22656703688855e+01	3.33290832130055e+06,-8.93727815633175e+03	9.90904091515502e-01,4.98059440106729e-03
3.24900958542498e+01	3.33290800297416e+06,-8.99640001598492e+03	9.90904429534798e-01,4.94619190280410e-03
3.27160823423117e+01	3.33290768020707e+06,-9.05595409598088e+03	9.90904762900770e-01,4.91202700122595e-03
3.29436406907034e+01	3.33290735293730e+06,-9.11594324773524e+03	9.90905091677529e-01,4.87809805580072e-03
3.31727818325781e+01	3.33290702110200e+06,-9.17637034673954e+03	9.90905415928172e-01,4.84440343731318e-03
3.34035167771352e+01	3.33290668463728e+06,-9.23723831664799e+03	9.90905735715099e-01,4.81094152778826e-03
3.36358566101490e+01	3.33290634347862e+06,-9.29855005701613e+03	9.90906051099667e-01,4.77771072041207e-03
3.38698124945015e+01	3.33290599756038e+06,-9.36030852519646e+03	9.90906362142527e-01,4.74470941945677e-03
3.41053956707187e+01	3.33290564681609e+06,-9.42251668816419e+03	9.90906668903476e-01,4.71193604020344e-03
3.43426174575106e+01	3.33290529117829e+06,-9.48517754178653e+03	9.90906971441396e-01,4.67938900886595e-03
3.45814892523151e+01	3.33290493057873e+06,-9.54829408191803e+03	9.90907269814480e-01,4.64706676251657e-03
3.48220225318454e+01	3.33290456494809e+06,-9.61186934293955e+03	9.90907564080010e-01,4.61496774901056e-03
3.50642288526419e+01	3.33290419421602e+06,-9.67590639294052e+03	9.90907854294588e-01,4.58309042691242e-03
3.53081198516267e+01	3.33290381831136e+06,-9.74040829517950e+03	9.90908140513915e-01,4.55143326542149e-03
3.55537072466633e+01	3.33290343716189e+06,-9.80537814180571e+03	9.90908422793078e-01,4.51999474429984e-03
3.58010028371194e+01	3.33290305069427e+06,-9.87081907312822e+03	9.90908701186241e-01,4.48877335379811e-03
3.60500185044337e+01	3.33290265883435e+06,-9.93673421017223e+03	9.90908975746942e-01,4.45776759458473e-03
3.63007662126869e+01	3.33290226150678e+06,-1.00031267269396e+04	9.90909246527950e-01,4.42697597767315e-03
3.65532580091765e+01	3.33290185863512e+06,-1.00699998263215e+04	9.90909513581250e-01,4.39639702435084e-03
3.68075060249955e+01	3.33290145014204e+06,-1.01373567063765e+04	9.90909776958199e-01,4.36602926610923e-03
3.70635224756154e+01	3.33290103594897e+06,-1.02052006133216e+04	9.90910036709402e-01,4.33587124457230e-03
3.73213196614728e+01	3.33290061597636e+06,-1.02735347981749e+04	9.90910292884747e-01,4.30592151142770e-03
3.75809099685610e+01	3.33290019014355e+06,-1.03423625360255e+04	9.90910545533521e-01,4.27617862835726e-03
3.78423058690244e+01	3.33289975836856e+06,-1.04116871549370e+04	9.90910794704232e-01,4.24664116696777e-03
3.81055199217581e+01	3.33289932056862e+06,-1.04815119540517e+04	9.90911040444756e-01,4.21730770872275e-03
3.83705647730111e+01	3.33289887665937e+06,-1.05518403240250e+04	9.90911282802314e-01,4.18817684487503e-03
3.86374531569944e+01	3.33289842655565e+06,-1.06226756169552e+04	9.90911521823495e-01,4.15924717639891e-03
3.89061978964920e+01	3.33289797017098e+06,-1.06940212330968e+04	9.90911757554252e-01,4.13051731392320e-03
3.91768119034777e+01	3.33289750741759e+06,-1.07658806112246e+04	9.90911990039840e-01,4.10198587766470e-03
3.94493081797350e+01	3.33289703820651e+06,-1.08382572093641e+04	9.90912219324968e-01,4.07365149736233e-03
3.97236998174820e+01	3.33289656244765e+06,-1.09111544903389e+04	9.90912445453652e-01,4.04551281221129e-03
4.00000000000006e+01	3.33289608004956e+06,-1.09845759603095e+04	9.90912668469389e-01,4.01756847079826e-03
4.02782220022694e+01	3.33289559091953e+06,-1.10585251446858e+04	9.90912888415045e-01,3.98981713103663e-03
4.05583791916018e+01	3.33289509496357e+06,-1.11330055977612e+04	9.90913105332827e-01,3.96225746010137e-03
4.08404850282884e+01	3.33289459208635e+06,-1.12080208978953e+04	9.90913319264482e-01,3.93488813436671e-03
4.11245530662433e+01	3.33289408219124e+06,-1.12835746475131e+04	9.90913530251096e-01,3.90770783934167e-03
4.14105969536557e+01	3.33289356518027e+06,-1.13596704731045e+04	9.90913738333177e-01,3.88071526960724e-03
4.16986304336455e+01	3.33289304095409e+06,-1.14363120300416e+04	9.90913943550783e-01,3.85390912875458e-03
4.19886673449233e+01	3.33289250941192e+06,-1.15135030025777e+04	9.90914145943300e-01,3.82728812932187e-03
4.22807216224559e+01	3.33289197045167e+06,-1.15912470942125e+04	9.90914345549650e-01,3.80085099273353e-03
4.25748072981351e+01	3.33289142396972e+06,-1.16695480421433e+04	9.90914542408150e-01,3.77459644923825e-03
4.28709385014524e+01	3.33289086986102e+06,-1.17484096124474e+04	9.90914736556679e-01,3.74852323784913e-03
4.31691294601778e+01	3.33289030801922e+06,-1.18278355759950e+04	9.90914928032496e-01,3.72263010628205e-03
4.34693945010430e+01	3.33288973833621e+06,-1.19078297662562e+04	9.90915116872430e-01,3.69691581089696e-03
4.37717480504303e+01	3.33288916070262e+06,-1.19883960118585e+04	9.90915303112776e-01,3.67137911663734e-03
4.40762046350651e+01	3.33288857500731e+06,-1.20695381992108e+04	9.90915486789312e-01,3.64601879697140e-03
4.43827788827145e+01	3.33288798113789e+06,-1.21512602050607e+04	9.90915667937315e-01,3.62083363383328e-03
4.46914855228895e+01	3.33288737898012e+06,-1.22335659687539e+04	9.90915846591642e-01,3.59582241756494e-03
4.50023393875531e+01	3.33288676841829e+06,-1.23164594440599e+04	9.90916022786572e-01,3.57098394685771e-03
4.53153554118327e+01	3.33288614933513e+06,-1.23999446039891e+04	9.90916196556017e-01,3.54631702869514e-03
4.56305486347377e+01	3.33288552161169e+06,-1.24840254552441e+04	9.90916367933338e-01,3.52182047829566e-03
4.59479341998822e+01	3.33288488512722e+06,-1.25687060526711e+04	9.90916536951458e-01,3.49749311905577e-03
4.62675273562123e+01	3.33288423975949e+06,-1.26539904510855e+04	9.90916703642876e-01,3.47333378249371e-03
4.65893434587390e+01	3.33288358538442e+06,-1.27398827582627e+04	9.90916868039637e-01,3.44934130819383e-03
4.69133979692759e+01	3.33288292187647e+06,-1.28263870674943e+04	9.90917030173297e-01,3.42551454375021e-03
4.72397064571820e+01	3.33288224910786e+06,-1.29135075732030e+04	9.90917190075055e-01,3.40185234471223e-03
4.75682846001096e+01	3.33288156694940e+06,-1.30012484456922e+04	9.90917347775615e-01,3.37835357452898e-03
4.78991481847580e+01	3.33288087527011e+06,-1.30896138841352e+04	9.90917503305290e-01,3.35501710449531e-03
4.82323131076312e+01	3.33288017393695e+06,-1.31786081502961e+04	9.90917656693953e-01,3.33184181369771e-03
4.85677953758027e+01	3.33287946281519e+06,-1.32682355107211e+04	9.90917807971112e-01,3.30882658896043e-03
4.89056111076836e+01	3.33287874176807e+06,-1.33585002849106e+04	9.90917957165809e-01,3.28597032479203e-03
4.92457765337975e+01	3.33287801065730e+06,-1.34494067730595e+04	9.90918104306735e-01,3.26327192333254e-03
4.95883079975603e+01	3.33287726934211e+06,-1.35409593764883e+04	9.90918249422148e-01,3.24073029430081e-03
4.99332219560653e+01	3.33287651768016e+06,-1.36331624772102e+04	9.90918392539931e-01,3.21834435494231e-03
5.02805349808740e+01	3.33287575552696e+06,-1.37260205101895e+04	9.90918533687623e-01,3.19611302997711e-03
5.06302637588121e+01	3.33287498273620e+06,-1.38195379151682e+04	9.90918672892323e-01,3.17403525154847e-03
5.09824250927714e+01	3.33287419915913e+06,-1.39137192137412e+04	9.90918810180775e-01,3.15210995917136e-03
5.13370359025171e+01	3.33287340464535e+06,-1.40085689081928e+04	9.90918945579376e-01,3.13033609968187e-03
5.16941132255006e+01	3.33287259904214e+06,-1.41040915585725e+04	9.90919079114150e-01,3.10871262718688e-03
5.20536742176783e+01	3.33287178219481e+06,-1.42002917393380e+04	9.90919210810752e-01,3.08723850301342e-03
5.24157361543355e+01	3.33287095394607e+06,-1.42971741067966e+04	9.90919340694492e-01,3.06591269565928e-03
5.27803164309167e+01	3.33287011413703e+06,-1.43947432834896e+04	9.90919468790322e-01,3.04473418074330e-03
5.31474325638614e+01	3.33286926260626e+06,-1.44930039593540e+04	9.90919595122884e-01,3.02370194095655e-03
5.35171021914455e+01	3.33286839919006e+06,-1.45919608628176e+04	9.90919719716412e-01,3.00281496601311e-03
5.38893430746286e+01	3.33286752372267e+06,-1.46916187270778e+04	9.90919842594874e-01,2.98207225260211e-03
5.42641730979079e+01	3.33286663603574e+06,-1.47919823527243e+04	9.90919963781896e-01,2.96147280433941e-03
5.46416102701768e+01	3.33286573595854e+06,-1.48930565740173e+04	9.90920083300758e-01,2.94101563171955e-03
5.50216727255908e+01	3.33286482331839e+06,-1.49948462155319e+04	9.90920201174427e-01,2.92069975206878e-03
5.54043787244380e+01	3.33286389793988e+06,-1.50973561692320e+04	9.90920317425546e-01,2.90052418949755e-03
